Orden,Provincia,Codigo,Departamento/Partido,Cantidad de filiales,Hay filiales,Mas de cinco filiales,Mas de cincuenta filiales,Pisos con revestimiento,Agua por cañeria dentro     de la vivienda,Agua para beber y cocinar por red publica,Baño o letrina dentro de la vivienda,Dos o mas baños,Baño con inodoro con arrastre de agua,Desagüe del inodoro del baño a red publica,Gas de red o electricidad para cocinar,Vivienda propia,Internet,Celular con internet,Computadora. tablet. etc.,Inspeccion en plazo,Equipo de inspeccion
81,BUENOS AIRES,BA,MALVINAS ARGENTINAS,8,SI,NO,NO,84.8,89.5,14.1,96.4,20.8,82.9,9.3,54.7,68.8,82.2,91.4,54.8,SI,SI
82,BUENOS AIRES,BA,MAR CHIQUITA,3,SI,SI,NO,93.5,95.7,60.2,98.9,26.6,96.1,30.9,48.2,67.7,71.9,90.8,56.8,SI,SI
83,BUENOS AIRES,BA,MARCOS PAZ,3,SI,SI,NO,78.8,91,83.4,96.4,16.7,82.8,40.6,36.9,70.7,74.5,90.3,48.1,SI,SI
84,BUENOS AIRES,BA,MERCEDES,11,SI,NO,NO,90.7,95.6,80.3,98.3,27.6,93.5,68.2,67.3,62.6,85.2,91.4,60.5,SI,SI
85,BUENOS AIRES,BA,MERLO,16,SI,NO,NO,78.7,87.3,41.4,95.8,17,79.1,39.5,45.9,72.2,79.2,90.8,49,NO,SI
86,BUENOS AIRES,BA,MINAS,2,SI,SI,NO,91,95.2,73.9,98.4,21.4,95.5,58.2,50.7,61.5,74.2,87.6,51.7,SI,NO
87,BUENOS AIRES,BA,MONTE,3,SI,SI,NO,94.3,97.8,84.5,99.1,23.1,96,71.5,69.6,59.4,80.9,92.3,55.6,NO,NO
88,BUENOS AIRES,BA,MORENO,15,SI,NO,NO,75.5,85.4,35.8,95.2,18.1,76.9,32.2,35,74,75.7,90.7,45.3,SI,SI
89,BUENOS AIRES,BA,MORON,32,SI,NO,NO,95.9,97.6,88,99,32.8,96.2,79.5,90.5,63.4,89.1,93.1,70.8,NO,NO
90,BUENOS AIRES,BA,NAVARRO,4,SI,SI,NO,90.7,95.7,87.4,97.9,18.2,94,62.5,44,63,83.3,88.8,51.3,SI,SI
